"","position","full_name","first_name","last_name","inch_height","weight","games","receptions","targets","receiving_yards","receiving_tds","receiving_air_yards","receiving_yards_after_catch","carries","rec_gm","ay_per_targ"
"385","WR","Darren Carrington","Darren","Carrington",74,"199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","WR","Ricardo Louis","Ricardo","Louis",74,"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","WR","Brandon Coleman","Brandon","Coleman",78,"225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","WR","Brandon Reilly","Brandon","Reilly",74,"201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","WR","Jordan Lasley","Jordan","Lasley",73,"203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","WR","Keon Hatcher","Keon","Hatcher",73,"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","WR","Blake Jackson","Blake","Jackson",70,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","WR","Devin Lucien","Devin","Lucien",72,"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","WR","Martavis Bryant","Martavis","Bryant",76,"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","WR","Stephen Louis","Stephen","Louis",73,"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","WR","Eli Rogers","Eli","Rogers",70,"181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","WR","Jace Billingsley","Jace","Billingsley",69,"185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","WR","Kamar Aiken","Kamar","Aiken",74,"216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","WR","Malcolm Mitchell","Malcolm","Mitchell",72,"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","WR","Isaiah Burse","Isaiah","Burse",70,"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","WR","Spencer Schnell","Spencer","Schnell",68,"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","WR","KD Cannon","KD","Cannon",71,"182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","WR","Hunter Sharp","Hunter","Sharp",71,"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","WR","Aldrick Robinson","Aldrick","Robinson",70,"184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","WR","Herb Waters","Herb","Waters",72,"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","WR","Tevin Jones","Tevin","Jones",74,"225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","WR","Drew Morgan","Drew","Morgan",71,"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","WR","Jalen Greene","Jalen","Greene",74,"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
